#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000
 213.0000000    5.9920830299e-07   -2.1175161291e-21   -2.0584641171e-06    1.4162912131e-20
 214.0000000    6.0696899266e-07   -5.4807177930e-22   -4.2345238473e-06    1.4926926518e-21
 215.0000000    1.0526979815e-06    1.3061569613e-21   -5.0920343045e-06   -1.0513006759e-20
 216.0000000    1.6695952659e-06    2.2715187414e-21   -4.0808512713e-06   -1.4536994870e-20
 217.0000000    2.0237113713e-06    1.7347528409e-21   -1.2672422359e-06   -8.9244290106e-21
 218.0000000    1.9363891986e-06    2.7418452367e-22    2.3313341408e-06    1.4900043148e-21
 219.0000000    1.5789778167e-06   -1.5518037538e-21    5.0318387995e-06    9.3738207278e-21
 220.0000000    1.2120576682e-06   -2.3674813860e-21    5.3776799166e-06    8.8239362597e-21
 221.0000000    9.2614353119e-07   -1.7054654773e-21    3.0981292011e-06    3.1144157856e-21
 222.0000000    6.4775651487e-07   -3.9919219374e-22   -5.7062133052e-07   -3.3290517870e-21
 223.0000000    3.3213547841e-07    1.0069954606e-21   -3.5331955526e-06   -5.3590000642e-21
 224.0000000    9.6344298064e-08    1.9616329733e-21   -4.1014917732e-06   -2.1500572851e-21
 225.0000000    1.4019204241e-07    2.0323827650e-21   -2.0500637927e-06    2.5370243310e-21
 226.0000000    5.3497611258e-07    1.6570624868e-21    1.2620344020e-06    3.8676606686e-21
 227.0000000    1.1197732622e-06    4.4766627010e-22    3.7876847370e-06    4.8192964204e-23
 228.0000000    1.6255773580e-06   -8.1725444520e-22    4.0939054851e-06   -4.7448340094e-21
 229.0000000    1.8786258551e-06   -1.5019208855e-21    2.2087561766e-06   -6.9090519157e-21
 230.0000000    1.8651786270e-06   -1.5791281790e-21   -4.9956690333e-07   -3.7428113260e-21
 231.0000000    1.6307778186e-06   -1.2548774179e-21   -2.2680903040e-06    2.4930900545e-21
 232.0000000    1.1837057653e-06   -8.3519877150e-22   -2.0644031633e-06    6.8967023677e-21
 233.0000000    5.5502859234e-07   -5.9567505420e-22   -1.9268798647e-07    6.9823349481e-21
 234.0000000   -5.4654016575e-08    3.0891318470e-22    1.9562957790e-06    2.2714896609e-21
 235.0000000   -2.8380674989e-07    1.2176744852e-21    2.8240203422e-06   -2.1858247687e-21
 236.0000000    1.1646347911e-07    2.3815305317e-21    1.6946652400e-06   -3.5562820979e-21
 237.0000000    9.6719981220e-07    2.6823011573e-21   -8.3260325536e-07   -7.6048917567e-22
 238.0000000    1.6717697818e-06    1.5965361304e-21   -3.2145532153e-06    8.3581431020e-22
 239.0000000    1.6523809614e-06   -8.2108015554e-22   -3.9471252432e-06   -2.7324102078e-22
 240.0000000    8.6661133702e-07   -2.9737853880e-21   -2.5160529770e-06   -4.5966943627e-21
 241.0000000   -9.0512141975e-08   -4.1232627090e-21    3.1742970175e-07   -7.0196873227e-21
 242.0000000   -4.3919853050e-07   -2.9914986853e-21    3.0621374639e-06   -4.9905228072e-21
 243.0000000    1.5475392368e-07   -5.2134350576e-22    4.4492886023e-06    2.8023425125e-21
 244.0000000    1.3182295858e-06    2.4754446118e-21    4.1081230485e-06    1.0777297427e-20
 245.0000000    2.2877191394e-06    3.9655555554e-21    2.5556197222e-06    1.3452903591e-20
 246.0000000    2.4983383189e-06    3.8944438721e-21    6.5317914995e-07    8.1352114645e-21
 247.0000000    1.9348991950e-06    2.0075414973e-21   -9.5074350746e-07   -2.5972501882e-21
 248.0000000    1.0119868832e-06   -4.9686412951e-22   -1.9874218056e-06   -1.1848444621e-20
 249.0000000    1.8569281217e-07   -2.4939753962e-21   -2.3729457294e-06   -1.5072704176e-20
 250.0000000   -3.2852369243e-07   -3.3691066349e-21   -2.0032684345e-06   -9.5376412632e-21
 251.0000000   -5.4227005786e-07   -3.1423945236e-21   -8.2026504355e-07    2.9421134178e-22
 252.0000000   -4.9689474996e-07   -1.3925876418e-21    9.2188803738e-07    9.3827549246e-21
 253.0000000   -1.3180763345e-07    7.9810004414e-22    2.5259402184e-06    1.2388079805e-20
 254.0000000    6.3923341248e-07    2.5873175585e-21    3.1105882324e-06    9.0452135359e-21
 255.0000000    1.7208144544e-06    3.1271046070e-21    2.1630855853e-06    1.6463705311e-21
 256.0000000    2.7101344982e-06    2.4871285380e-21   -9.4785395506e-09   -5.8240025940e-21
 257.0000000    3.0143237217e-06    4.2046624512e-22   -2.3105494080e-06   -9.9438745895e-21
 258.0000000    2.1885902688e-06   -1.6975297133e-21   -3.4273282062e-06   -8.4449679857e-21
 259.0000000    2.9805436633e-07   -2.7588282886e-21   -2.6242554110e-06   -2.6968091297e-21
 260.0000000   -1.9524200099e-06   -2.6132234982e-21   -2.5433278592e-07    4.6238039149e-21
 261.0000000   -3.4777143857e-06   -1.3840282612e-21    2.3713202636e-06    8.5514141752e-21
 262.0000000   -3.3842061858e-06    4.3775948980e-22    3.7330581728e-06    7.0174448877e-21
 263.0000000   -1.5294065093e-06    1.8602258001e-21    3.0486062282e-06    9.1566308870e-22
 264.0000000    1.3153621728e-06    1.9600238485e-21    8.1693134652e-07   -5.3427854259e-21
 265.0000000    3.8532394527e-06    1.2868216145e-21   -1.4464329753e-06   -7.5449413571e-21
 266.0000000    4.9725545470e-06    6.8371647506e-23   -2.1895263670e-06   -3.7321096769e-21
 267.0000000    4.3201868121e-06   -7.3133105907e-22   -9.0673720145e-07    3.1730712921e-21
 268.0000000    2.3924418482e-06   -8.3563336444e-22    1.4468069533e-06    7.4743216201e-21
 269.0000000    1.5595848867e-07   -1.6726496715e-22    3.0792715095e-06    6.4933371124e-21
 270.0000000   -1.4901457464e-06    5.4222981623e-22    2.6461832406e-06    4.5065510630e-22
 271.0000000   -2.0761743505e-06    8.4389224587e-22    2.6863332588e-07   -6.0755333549e-21
 272.0000000   -1.6215364156e-06    1.6264438794e-22   -2.5073800463e-06   -8.7785350301e-21
 273.0000000   -4.8811243466e-07   -1.0049056986e-21   -3.8198743351e-06   -5.8331484328e-21
 274.0000000    8.1329818403e-07   -1.7387594970e-21   -2.8368269908e-06    2.0589042434e-22
 275.0000000    1.7873570761e-06   -1.4597928354e-21   -3.0817348398e-07    5.3476644990e-21
 276.0000000    2.1002046955e-06   -1.4133156247e-22    2.0745813489e-06    7.2790181382e-21
 277.0000000    1.7048810594e-06    1.4912321610e-21    2.9600769386e-06    5.1374830752e-21
 278.0000000    8.7553953842e-07    2.4629819727e-21    2.2338865954e-06    1.9224194424e-21
 279.0000000    7.8258814913e-08    2.1377125838e-21    8.8118270995e-07   -1.4793963697e-21
 280.0000000   -2.8818903280e-07    1.0718515905e-21    4.0811990641e-08   -4.0014118962e-21
